booking_id,adr,adults,agent,arrival_date_day_of_month,arrival_date_month,arrival_date_week_number,arrival_date_year,assigned_room_type,babies,booking_changes,booking_src_id,children,company,cost_amount,country,customer_src_id,customer_type,days_in_waiting_list,deposit_type,distribution_channel,hotel,is_canceled,is_repeated_guest,lead_time,market_segment,meal,previous_bookings_not_canceled,previous_cancellations,product_bundle_name,profit_amount,required_car_parking_spaces,reservation_status,reservation_status_date,reserved_room_type,sales_amount,source_system,source_table,stays_in_week_nights,stays_in_weekend_nights,total_of_special_requests,total_nights,city_name,country_name,hotel_key,hotel_src_id,hotel_name,star_rating
C0264844,100,2,SCD2-DEMO-AGENT,23,11,6,2025,A,0,0,C264845,0,SCD2-DEMO-COMPANY,0,PRT,GC100206,Contract,0,Non Refund,TA/TO,HTL-C-0247,1,0,156,Groups,BB,0,0,LONG_STAY,0,0,Canceled,11/21/2016,A,0,CITY,SRC_CITY_HOTEL,3,0,0,3,Porto,Portugal,15,HTL-C-0015,Porto City Hotel 0247,3
C0264940,120,2,31,23,11,39,2025,A,0,0,C264941,0,,0,PRT,GC264941,Transient,0,Non Refund,TA/TO,HTL-C-0135,1,0,111,Offline TA/TO,BB,0,0,ROOM_ONLY,0,0,Canceled,1/6/2017,A,0,CITY,SRC_CITY_HOTEL,3,1,0,4,Lisbon,Portugal,21,HTL-C-0021,Lisbon City Hotel 0135,4
C0265549,126,2,9,23,11,16,2025,A,0,0,C265550,0,,0,DEU,GC265550,Transient,0,No Deposit,TA/TO,HTL-C-0095,1,0,58,Online TA,SC,0,0,ROOM_ONLY,0,0,Canceled,3/13/2017,A,0,CITY,SRC_CITY_HOTEL,2,1,0,3,Lisbon,Germany,22,HTL-C-0022,Lisbon City Hotel 0095,3
C0265840,90,2,47,23,11,48,2025,A,0,0,C265841,0,,0,PRT,GC265841,Transient,0,Non Refund,Corporate,HTL-C-0009,1,0,5,Groups,BB,0,0,ROOM_ONLY,0,0,Canceled,5/5/2017,A,0,CITY,SRC_CITY_HOTEL,1,0,0,1,Faro,Portugal,37,HTL-C-0037,Faro City Hotel 0009,4
C0265937,193.5,3,9,23,11,5,2025,D,0,0,C265938,0,,0,DEU,GC265938,Transient,0,No Deposit,TA/TO,HTL-C-0205,1,0,319,Online TA,HB,0,0,FAMILY_STAY,0,0,Canceled,10/13/2016,D,0,CITY,SRC_CITY_HOTEL,3,0,2,3,Porto,Germany,14,HTL-C-0014,Porto City Hotel 0205,3
C0266036,135,2,9,23,11,15,2025,A,0,0,C266037,0,,0,PRT,GC266037,Transient,0,No Deposit,TA/TO,HTL-C-0235,1,0,105,Online TA,BB,0,0,ROOM_ONLY,0,0,Canceled,5/3/2017,A,0,CITY,SRC_CITY_HOTEL,1,1,0,2,Porto,Portugal,4,HTL-C-0004,Porto City Hotel 0235,4
C0267137,100,2,12,23,11,20,2025,A,0,0,C267138,0,,0,PRT,GC267138,Transient-Party,0,No Deposit,TA/TO,HTL-C-0245,1,0,246,Offline TA/TO,BB,0,0,ROOM_ONLY,0,0,Canceled,1/25/2017,A,0,CITY,SRC_CITY_HOTEL,1,1,0,2,Porto,Portugal,8,HTL-C-0008,Porto City Hotel 0245,5
C0026726,130,2,29,23,11,13,2025,A,0,0,C26727,0,,0,PRT,GC26727,Transient,0,Non Refund,TA/TO,HTL-C-0052,1,0,96,Groups,BB,0,0,LONG_STAY,0,0,Canceled,1/20/2017,A,0,CITY,SRC_CITY_HOTEL,2,0,0,2,Faro,Portugal,34,HTL-C-0034,Faro City Hotel 0052,5
C0267460,110,2,1,23,11,42,2025,A,0,0,C267461,0,,0,PRT,GC267461,Transient,0,Non Refund,TA/TO,HTL-C-0232,1,0,174,Groups,BB,0,0,ROOM_ONLY,0,0,Canceled,12/9/2016,A,0,CITY,SRC_CITY_HOTEL,3,0,0,3,Porto,Portugal,7,HTL-C-0007,Porto City Hotel 0232,3
C0267780,178.2,2,9,23,11,9,2025,A,0,0,C267781,0,,0,FRA,GC267781,Transient,0,No Deposit,TA/TO,HTL-C-0215,1,0,96,Online TA,HB,0,0,LONG_STAY,0,0,Canceled,4/21/2017,A,0,CITY,SRC_CITY_HOTEL,5,2,0,7,Porto,France,9,HTL-C-0009,Porto City Hotel 0215,4
