booking_id,adr,adults,agent,arrival_date_day_of_month,arrival_date_month,arrival_date_week_number,arrival_date_year,assigned_room_type,babies,booking_changes,booking_src_id,children,company,cost_amount,country,customer_src_id,customer_type,days_in_waiting_list,deposit_type,distribution_channel,hotel,is_canceled,is_repeated_guest,lead_time,market_segment,meal,previous_bookings_not_canceled,previous_cancellations,product_bundle_name,profit_amount,required_car_parking_spaces,reservation_status,reservation_status_date,reserved_room_type,sales_amount,source_system,source_table,stays_in_week_nights,stays_in_weekend_nights,total_of_special_requests,total_nights,city_name,country_name,hotel_key,hotel_src_id,hotel_name,star_rating
R0326892,110,2,SCD2-DEMO-AGENT,23,11,40,2025,A,0,0,R326893,0.0,SCD2-DEMO-COMPANY,0,PRT,GR100517,Contract,0,No Deposit,TA/TO,HTL-R-0154,1,0,286,Online TA,HB,0,0,FAMILY_PACKAGE,0,0,Canceled,2016-05-23,A,0,RESORT,SRC_RESORT_HOTEL,3,2,2,5,Funchal,Portugal,,HTL-R-CBA3ECD717,Funchal Resort Hotel 0154,4
R0327097,64.8,2,240.0,23,11,32,2025,A,0,0,R327098,0.0,,220.32,FIN,GR327098,Transient,0,No Deposit,TA/TO,HTL-R-0014,0,0,294,Online TA,BB,0,0,STANDARD_RESORT,103.68,0,Check-Out,2016-06-26,A,324,RESORT,SRC_RESORT_HOTEL,5,0,1,5,Albufeira,Finland,,HTL-R-582F41B83E,Albufeira Resort Hotel 0014,5
R0328903,99,3,253.0,23,11,1,2025,C,0,1,R328904,0.0,,471.24,GBR,GR328904,Transient-Party,0,No Deposit,TA/TO,HTL-R-0141,0,0,542,Groups,HB,0,0,SPA_ESCAPE,221.76,0,Check-Out,2016-10-03,A,693,RESORT,SRC_RESORT_HOTEL,5,2,0,7,Funchal,United Kingdom,,HTL-R-CB9FD5C4CC,Funchal Resort Hotel 0141,5
R0328927,71.04,2,240.0,23,11,48,2025,D,1,1,R328928,0.0,,0,PRT,GR328928,Transient,0,No Deposit,TA/TO,HTL-R-0233,1,0,263,Online TA,BB,0,0,FAMILY_PACKAGE,0,0,Canceled,2016-03-11,D,0,RESORT,SRC_RESORT_HOTEL,10,4,2,14,Lagos,Portugal,,HTL-R-E3499D3850,Lagos Resort Hotel 0233,3
R0032895,35,1,,23,11,52,2025,E,0,0,R32896,0.0,,23.8,PRT,GR32896,Transient,0,No Deposit,Direct,HTL-R-0006,0,0,0,Direct,BB,0,0,SPA_ESCAPE,11.2,1,Check-Out,2017-02-09,A,35,RESORT,SRC_RESORT_HOTEL,1,0,0,1,Albufeira,Portugal,,HTL-R-2406B72EC5,Albufeira Resort Hotel 0006,5
R0329782,37.8,2,240.0,23,11,3,2025,A,0,0,R329783,0.0,,0,GBR,GR329783,Transient,0,No Deposit,TA/TO,HTL-R-0170,1,0,135,Online TA,BB,0,0,STANDARD_RESORT,0,0,Canceled,2016-08-31,A,0,RESORT,SRC_RESORT_HOTEL,3,2,0,5,Lagos,United Kingdom,,HTL-R-6070FA3EEA,Lagos Resort Hotel 0170,5
R0331153,73,2,495.0,23,11,14,2025,E,0,0,R331154,0.0,,0,PRT,GR331154,Transient,0,Non Refund,Corporate,HTL-R-0247,1,0,103,Groups,BB,0,0,STANDARD_RESORT,0,0,Canceled,2016-12-23,E,0,RESORT,SRC_RESORT_HOTEL,1,1,0,2,Lagos,Portugal,,HTL-R-DA581EF715,Lagos Resort Hotel 0247,5
R0331452,115,2,240.0,23,11,15,2025,D,0,0,R331453,0.0,,0,GBR,GR331453,Transient,0,No Deposit,TA/TO,HTL-R-0175,1,0,43,Online TA,BB,0,0,FAMILY_PACKAGE,0,0,Canceled,2017-03-01,D,0,RESORT,SRC_RESORT_HOTEL,3,1,0,4,Lagos,United Kingdom,,HTL-R-ACE3D126ED,Lagos Resort Hotel 0175,4
R0331620,71.28,2,250.0,23,11,8,2025,E,0,0,R331621,0.0,,0,IRL,GR331621,Transient,0,No Deposit,Direct,HTL-R-0076,1,0,208,Direct,BB,0,0,ALL_INCLUSIVE,0,0,Canceled,2016-09-26,E,0,RESORT,SRC_RESORT_HOTEL,5,2,0,7,Albufeira,Ireland,,HTL-R-94D5CBECBA,Albufeira Resort Hotel 0076,4
R0332081,80,2,250.0,23,11,45,2025,A,0,0,R332082,0.0,,0,IRL,GR332082,Transient,0,No Deposit,Direct,HTL-R-0020,1,0,104,Direct,BB,0,0,ALL_INCLUSIVE,0,0,Canceled,2017-02-06,A,0,RESORT,SRC_RESORT_HOTEL,5,2,0,7,Albufeira,Ireland,,HTL-R-BF8F332A01,Albufeira Resort Hotel 0020,5
